# Last updated from batch 96 (v0.1.90) — 2026-09-15,,,,
Keyword,Kind,Platform,Status,Impl
DIALOG DOEVENTS,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG ENABLE,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG END,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG GET CLIENT,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
DIALOG GET LOC,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
DIALOG GET SIZE,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
DIALOG GET TEXT,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG GET USER,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG HIDE,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG MAXIMIZE,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG MINIMIZE,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG NEW,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
DIALOG NONSTABLE,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG NORMALIZE,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG PIXELS,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG POST,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG REDRAW,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG SEND,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG SET CLIENT,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
DIALOG SET COLOR,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG SET ICON,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG SET LOC,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
DIALOG SET SIZE,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
DIALOG SET TEXT,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG SET USER,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG SHOW MODAL,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG SHOW MODELESS,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG SHOW STATE,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG STABILIZE,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG TRAXOMATIC,STATEMENT,PB/Win only,Proposed New,TIER3_DDT
DIALOG UNITS,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG XLAT,STATEMENT,PB/Win only,Proposed New,TIER3_DDT
DIM,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
DIR,FUNCTION,codegen builtin,,IMPLEMENTED
DIR FUNCTION AND,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
DISKFREE,FUNCTION,codegen builtin,,IMPLEMENTED
DISKSIZE,FUNCTION,codegen builtin,,IMPLEMENTED
DISPLAY BROWSE,STATEMENT,PB/Win only,Established,IMPLEMENTED
DISPLAY COLOR,STATEMENT,PB/Win only,Established,IMPLEMENTED
DISPLAY FONT,STATEMENT,PB/Win only,Established,IMPLEMENTED
DISPLAY OPENFILE,STATEMENT,PB/Win only,Established,IMPLEMENTED
DISPLAY SAVEFILE,STATEMENT,PB/Win only,Established,IMPLEMENTED
DISPLAY_BROWSE,FUNCTION,codegen builtin,,IMPLEMENTED
DISPLAY_COLOR,FUNCTION,codegen builtin,,IMPLEMENTED
DISPLAY_FONT,FUNCTION,codegen builtin,,IMPLEMENTED
DISPLAY_OPENFILE,FUNCTION,codegen builtin,,IMPLEMENTED
DISPLAY_SAVEFILE,FUNCTION,codegen builtin,,IMPLEMENTED
DOUBLE,FUNCTION,codegen builtin,,IMPLEMENTED
END,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
ENVIRON,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
EOF,FUNCTION,codegen builtin,,IMPLEMENTED
ERASE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
ERF,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
ERL,FUNCTION,codegen builtin,,IMPLEMENTED
ERR,FUNCTION,codegen builtin,,IMPLEMENTED
ERRCLEAR,FUNCTION,codegen builtin,,IMPLEMENTED
ERROR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
EVENT SOURCE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
EVENTS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
EXE,FUNCTION,codegen builtin,,IMPLEMENTED
EXIST,FUNCTION,codegen builtin,,IMPLEMENTED
EXIT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
EXP,FUNCTION,LLVM intrinsic,,IMPLEMENTED
EXP10,FUNCTION,LLVM intrinsic,,IMPLEMENTED
EXP2,FUNCTION,LLVM intrinsic,,IMPLEMENTED
EXPM1,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
EXTRACT,FUNCTION,codegen builtin,,IMPLEMENTED
FIELD,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
FILEATTR,FUNCTION,codegen builtin,,IMPLEMENTED
FILECOPY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
FILENAME,FUNCTION,codegen builtin,,IMPLEMENTED
FILESCAN,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
FIX,FUNCTION,codegen builtin,,IMPLEMENTED
FLOOR,FUNCTION,LLVM intrinsic,,IMPLEMENTED
FLUSH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
FONT END,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
FONT NEW,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
FONT_END,FUNCTION,codegen builtin,,IMPLEMENTED
FONT_NEW,FUNCTION,codegen builtin,,IMPLEMENTED
FOR / NEXT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
FORMAT,FUNCTION,codegen builtin,,IMPLEMENTED
FRAC,FUNCTION,codegen builtin,,IMPLEMENTED
FRE,FUNCTION,codegen builtin,,IMPLEMENTED
FREEFILE,FUNCTION,codegen builtin,,IMPLEMENTED
FUNCTION / END FUNCTION,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
